iter	Passed	Remaining
402	8584	12716
403	8601	12688
404	8617	12660
405	8633	12631
406	8650	12603
407	8665	12574
408	8682	12546
409	8701	12521
410	8716	12491
411	8732	12463
412	8750	12436
413	8765	12407
414	8781	12379
415	8797	12351
416	8814	12323
417	8830	12295
418	8845	12265
419	8861	12236
420	8877	12209
421	8894	12182
422	8912	12156
423	8928	12129
424	8945	12102
425	8961	12074
426	8978	12049
427	9003	12032
428	9020	12006
429	9038	11981
430	9053	11952
431	9069	11924
432	9087	11900
433	9105	11874
434	9121	11847
435	9138	11821
436	9154	11794
437	9171	11767
438	9188	11741
439	9204	11714
440	9222	11689
441	9240	11665
442	9258	11640
443	9274	11613
444	9292	11589
445	9309	11563
446	9329	11541
447	9344	11514
448	9362	11489
449	9379	11463
450	9396	11438
451	9412	11412
452	9429	11386
453	9444	11358
454	9461	11333
455	9478	11307
456	9496	11284
457	9513	11258
458	9533	11236
459	9549	11210
460	9565	11184
461	9582	11158
462	9600	11134
463	9621	11114
464	9638	11089
465	9658	11067
466	9674	11042
467	9691	11016
468	9708	10992
469	9726	10968
470	9741	10941
471	9759	10917
472	9776	10892
473	9794	10868
474	9810	10843
475	9827	10818
476	9843	10792
477	9859	10767
478	9879	10745
479	9896	10720
480	9912	10695
481	9928	10669
482	9943	10643
483	9960	10618
484	9980	10597
485	9998	10574
486	10015	10550
487	10032	10525
488	10049	10501
489	10066	10477
490	10083	10453
491	10100	10429
492	10117	10404
493	10134	10380
494	10151	10356
495	10168	10332
496	10185	10308
497	10202	10284
498	10218	10259
499	10234	10234
500	10250	10209
501	10267	10185
502	10285	10162
503	10301	10137
504	10318	10113
505	10335	10090
506	10351	10065
507	10367	10041
508	10384	10017
509	10401	9993
510	10416	9968
511	10434	9944
512	10450	9921
513	10466	9896
514	10482	9872
515	10500	9849
516	10515	9824
517	10532	9800
518	10549	9777
519	10566	9753
520	10582	9729
521	10599	9706
522	10634	9699
523	10671	9694
524	10706	9687
525	10742	9680
526	10775	9671
527	10811	9664
528	10836	9648
529	10853	9624
530	10868	9599
531	10885	9575
532	10902	9552
533	10920	9530
534	10938	9507
535	10956	9484
536	10973	9461
537	10989	9437
538	11005	9413
539	11021	9388
540	11036	9363
541	11052	9339
542	11068	9315
543	11086	9292
544	11102	9268
545	11118	9245
546	11136	9222
547	11151	9198
548	11167	9173
549	11182	9149
550	11197	9124
551	11215	9102
552	11231	9078
553	11248	9055
554	11263	9031
555	11280	9007
556	11296	8984
557	11313	8961
558	11334	8942
559	11351	8918
560	11366	8894
561	11382	8871
562	11398	8847
563	11413	8823
564	11428	8798
565	11445	8776
566	11462	8753
567	11480	8731
568	11497	8708
569	11514	8686
570	11530	8663
571	11546	8639
572	11563	8616
573	11579	8594
574	11595	8570
575	11613	8548
576	11628	8525
577	11644	8501
578	11659	8477
579	11675	8454
580	11690	8430
581	11706	8407
582	11723	8385
583	11740	8363
584	11755	8339
585	11772	8317
586	11789	8294
587	11805	8272
588	11821	8249
589	11838	8226
590	11852	8202
591	11870	8180
592	11887	8159
593	11905	8137
594	11939	8127
595	11975	8117
596	12011	8108
597	12049	8099
598	12085	8090
599	12108	8072
600	12125	8049
601	12140	8026
602	12157	8003
603	12173	7981
604	12190	7958
605	12208	7937
606	12226	7915
607	12244	7894
608	12261	7872
609	12279	7851
610	12302	7832
611	12327	7815
612	12348	7795
613	12364	7773
614	12381	7751
615	12399	7729
616	12413	7705
617	12429	7683
618	12445	7660
619	12462	7638
620	12479	7616
621	12496	7594
622	12511	7571
623	12528	7549
624	12544	7526
625	12559	7503
626	12576	7481
627	12593	7459
628	12608	7437
629	12624	7414
630	12644	7394
631	12659	7371
632	12675	7349
633	12690	7326
634	12705	7303
635	12721	7280
636	12737	7258
637	12757	7238
638	12783	7221
639	12797	7198
640	12813	7176
641	12831	7155
642	12854	7137
643	12871	7115
644	12887	7093
645	12902	7070
646	12918	7048
647	12934	7026
648	12951	7004
649	12971	6984
650	12989	6963
651	13004	6941
652	13019	6918
653	13038	6897
654	13056	6877
655	13075	6856
656	13092	6835
657	13110	6814
658	13128	6793
659	13147	6772
660	13167	6753
661	13186	6732
662	13203	6711
663	13220	6689
664	13240	6670
665	13259	6649
666	13277	6628
667	13295	6608
668	13313	6587
669	13332	6566
670	13351	6546
671	13369	6525
672	13388	6505
673	13407	6485
674	13423	6463
675	13441	6442
676	13456	6420
677	13474	6399
678	13490	6377
679	13507	6356
680	13523	6334
681	13542	6314
682	13557	6292
683	13574	6271
684	13593	6250
685	13609	6229
686	13625	6207
687	13642	6186
688	13656	6164
689	13673	6143
690	13689	6121
691	13705	6100
692	13722	6079
693	13738	6057
694	13754	6036
695	13771	6015
696	13793	5996
697	13818	5978
698	13834	5957
699	13852	5936
700	13868	5915
701	13885	5894
702	13902	5873
703	13950	5865
704	13970	5845
705	13986	5824
706	14002	5802
707	14018	5781
708	14034	5760
709	14051	5739
710	14068	5718
711	14085	5697
712	14101	5676
713	14119	5655
714	14134	5633
715	14150	5612
716	14168	5592
717	14184	5571
718	14201	5550
719	14220	5530
720	14235	5508
721	14259	5490
722	14275	5469
723	14292	5448
724	14309	5427
725	14324	5406
726	14340	5385
727	14357	5364
728	14374	5343
729	14392	5323
730	14408	5301
731	14423	5280
732	14441	5260
733	14458	5239
734	14475	5219
735	14492	5198
736	14509	5177
737	14525	5156
738	14560	5142
739	14598	5129
740	14634	5115
741	14668	5100
742	14701	5085
743	14737	5070
744	14776	5057
745	14800	5039
746	14818	5018
747	14836	4998
748	14854	4977
749	14871	4957
750	14888	4936
751	14905	4915
752	14922	4894
753	14939	4874
754	14958	4853
755	14975	4833
756	14992	4812
757	15011	4792
758	15027	4771
759	15045	4751
760	15063	4730
761	15079	4709
762	15097	4689
763	15113	4668
764	15130	4647
765	15148	4627
766	15166	4607
767	15183	4586
768	15200	4566
769	15219	4546
770	15237	4525
771	15252	4504
772	15270	4484
773	15287	4463
774	15302	4442
775	15320	4422
776	15337	4401
777	15353	4381
778	15369	4360
779	15385	4339
780	15405	4319
781	15422	4299
782	15439	4278
783	15455	4258
784	15470	4237
785	15487	4216
786	15502	4195
787	15517	4174
788	15535	4154
789	15551	4134
790	15566	4113
791	15582	4092
792	15597	4071
793	15613	4050
794	15635	4031
795	15661	4013
796	15694	3997
797	15722	3979
798	15741	3960
799	15768	3942
800	15787	3922
801	15805	3902
802	15822	3881
803	15840	3861
804	15858	3841
805	15877	3821
806	15898	3802
807	15916	3782
808	15933	3761
809	15951	3741
810	15970	3721
811	15988	3701
812	16007	3681
813	16024	3661
814	16044	3642
815	16062	3621
816	16080	3601
817	16100	3582
818	16119	3562
819	16136	3542
820	16156	3522
821	16174	3502
822	16190	3482
823	16207	3461
824	16222	3441
825	16238	3420
826	16254	3400
827	16270	3379
828	16287	3359
829	16303	3339
830	16319	3318
831	16334	3298
832	16350	3277
833	16367	3257
834	16383	3237
835	16400	3217
836	16415	3196
837	16432	3176
838	16448	3156
839	16464	3136
840	16485	3116
841	16502	3096
842	16517	3076
843	16534	3056
844	16553	3036
845	16570	3016
846	16586	2996
847	16604	2976
848	16620	2956
849	16637	2935
850	16653	2915
851	16673	2896
852	16697	2877
853	16719	2858
854	16743	2839
855	16764	2820
856	16780	2800
857	16797	2780
858	16813	2759
859	16829	2739
860	16846	2719
861	16862	2699
862	16878	2679
863	16895	2659
864	16911	2639
865	16928	2619
866	16945	2599
867	16964	2579
868	16981	2559
869	16997	2539
870	17013	2519
871	17029	2499
872	17046	2479
873	17062	2459
874	17079	2439
875	17096	2420
876	17113	2400
877	17129	2380
878	17146	2360
879	17186	2343
880	17227	2326
881	17262	2309
882	17297	2291
883	17334	2274
884	17368	2256
885	17398	2238
886	17418	2219
887	17435	2199
888	17450	2178
889	17466	2158
890	17483	2138
891	17500	2118
892	17517	2098
893	17533	2078
894	17548	2058
895	17564	2038
896	17581	2018
897	17597	1998
898	17615	1979
899	17633	1959
900	17648	1939
901	17665	1919
902	17683	1899
903	17700	1879
904	17717	1859
905	17738	1840
906	17758	1820
907	17774	1800
908	17790	1781
909	17809	1761
910	17826	1741
911	17841	1721
912	17857	1701
913	17873	1681
914	17890	1661
915	17907	1642
916	17924	1622
917	17939	1602
918	17955	1582
919	17970	1562
920	17986	1542
921	18001	1522
922	18017	1503
923	18033	1483
924	18048	1463
925	18068	1443
926	18091	1424
927	18108	1404
928	18125	1385
929	18140	1365
930	18159	1345
931	18176	1326
932	18192	1306
933	18211	1286
934	18228	1267
935	18243	1247
936	18260	1227
937	18277	1208
938	18295	1188
939	18313	1168
940	18329	1149
941	18343	1129
942	18359	1109
943	18375	1090
944	18392	1070
945	18409	1050
946	18425	1031
947	18440	1011
948	18456	991
949	18489	973
950	18530	954
951	18567	936
952	18600	917
953	18635	898
954	18673	879
955	18707	861
956	18741	842
957	18760	822
958	18775	802
959	18793	783
960	18810	763
961	18827	743
962	18844	724
963	18861	704
964	18876	684
965	18893	664
966	18912	645
967	18932	625
968	18947	606
969	18966	586
970	18981	566
971	18995	547
972	19015	527
973	19032	508
974	19047	488
975	19062	468
976	19077	449
977	19092	429
978	19109	409
979	19126	390
980	19142	370
981	19158	351
982	19173	331
983	19190	312
984	19207	292
985	19224	272
986	19241	253
987	19257	233
988	19271	214
989	19287	194
990	19303	175
991	19322	155
992	19338	136
993	19355	116
994	19370	97
995	19386	77
996	19403	58
997	19423	38
998	19444	19
999	19460	0
